Slide,Type,Titre,Sous-titre,Contenu
1,title,Skin-Twin-AI,Intelligence Artificielle pour l'Analyse de la Peau,"• Application intelligente d'analyse dermatologique
• Recommandations personnalisées de soins
• Powered by AI & Machine Learning"
2,content,Introduction,,"• Skin-Twin-AI révolutionne les soins de la peau grâce à l'intelligence artificielle
• Analyse précise de votre peau en quelques secondes
• Recommandations personnalisées basées sur votre profil unique
• Assistant IA conversationnel disponible 24/7"
3,problem,La Problématique,,"• Difficulté à identifier son type de peau précisément
• Manque d'accès à des conseils dermatologiques professionnels
• Surcharge d'informations contradictoires sur internet
• Produits cosmétiques mal adaptés = résultats décevants
• Coût élevé des consultations dermatologiques"
4,solution,Notre Solution,,"• Analyse instantanée de la peau via photo
• Détection automatique des problèmes cutanés
• Recommandations de produits personnalisées
• Assistant IA pour conseils en temps réel
• Suivi de l'évolution de votre peau"
5,overview,Vue d'Ensemble de l'Application,,"• Frontend React + TypeScript
• Backend Django REST Framework
• 5 Modèles de Machine Learning intégrés
• API IA conversationnelle (Groq/Gemini)
• Système de recommandation intelligent
• Dashboard avec statistiques"
6,features,Fonctionnalités Principales,,"• 🤖 Assistant IA conversationnel avec Groq API
• 🎤 Reconnaissance vocale pour interagir avec le chat
• 📸 Analyse de peau via upload d'images
• 📊 Dashboard avec statistiques et graphiques
• 💬 Système de témoignages utilisateurs
• 🔐 Authentification JWT sécurisée"
7,feature_detail,Analyse de Peau Avancée,,"• Classification du type de peau (Sèche, Normale, Grasse)
• Détection de l'acné avec niveau de sévérité
• Identification des rides et signes de vieillissement
• Détection des taches sombres et hyperpigmentation
• Analyse des rougeurs et irritations
• Image annotée avec zones détectées"
8,ml_models,Modèles de Machine Learning,,"• CNN (Convolutional Neural Network) pour classification du type de peau
• YOLOv8 pour détection d'objets (acné, rides, taches)
• Modèles de segmentation pour zones précises
• 5 modèles intégrés fonctionnant en parallèle
• Précision élevée grâce à l'entraînement sur grandes bases de données"
9,architecture,Architecture Frontend,,"• React 18+ avec TypeScript
• Material-UI (MUI) pour l'interface moderne
• React Router pour la navigation
• Axios pour les appels API
• Web Speech API pour la reconnaissance vocale
• Design responsive et mobile-first"
10,architecture,Architecture Backend,,"• Django 5.2.6 + Django REST Framework
• SQLite pour le développement
• MySQL pour la production
• JWT Authentication pour la sécurité
• Architecture modulaire (chat_ai, detection, users, products)
• API RESTful complète"
